python_expression,natural_language
(12 + 3 + 37) * 14 - 15,"add 12, 3, and 37, multiply that sum by 14, then subtract 15."
((12 + 3 + 37) * 14 - 15) - (8 * 2),"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then subtract the product of 8 and 2."
((12 + 3 + 37) * 14 - 15) - (34 + 33),"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then subtract the sum of 34 and 33."
((12 + 3 + 37) * 14 - 15) - (6 * 9),"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then subtract the product of 6 and 9."
((12 + 3 + 37) * 14 - 15) + (11 * 5),"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then add the product of 11 and 5."
((12 + 3 + 37) * 14 - 15) * (4 * 6),"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then multiply that by the product of 4 and 6."
((12 + 3 + 37) * 14 - 15) * 3,"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then multiply that by 3."
((12 + 3 + 37) * 14 - 15) + (18 - 36),"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then add the difference of 18 and 36)."
((12 + 3 + 37) * 14 - 15) + (27 + 21 + 30),"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then add the sum of 27, 21, and 30."
((12 + 3 + 37) * 14 - 15) * 6,"add 12, 3, and 37, multiply that sum by 14, then subtract 15, then multiply that by 6."
(20 * 12 * 4) + 26,"multiply 20, 12, and 4 together, then add 26."
((20 * 12 * 4) + 26) - 48,"multiply 20, 12, and 4 together, then add 26, then subtract 48."
((20 * 12 * 4) + 26) - 45,"multiply 20, 12, and 4 together, then add 26, then subtract 45."
((20 * 12 * 4) + 26) + (9 * 10),"multiply 20, 12, and 4 together, then add 26, then add the product of 9 and 10."
((20 * 12 * 4) + 26) - 24,"multiply 20, 12, and 4 together, then add 26, then subtract 24."
((20 * 12 * 4) + 26) - (7 * 11),"multiply 20, 12, and 4 together, then add 26, then subtract the product of 7 and 11."
((20 * 12 * 4) + 26) - (15 - 37),"multiply 20, 12, and 4 together, then add 26, then subtract the difference of 15 and 37."
((20 * 12 * 4) + 26) * (16 + 18),"multiply 20, 12, and 4 together, then add 26, then multiply that by the sum of 16 and 18."
((20 * 12 * 4) + 26) - (5 + 37),"multiply 20, 12, and 4 together, then add 26, then subtract the sum of 5 and 37."
((20 * 12 * 4) + 26) + 7,"multiply 20, 12, and 4 together, then add 26, then add 7."
(8 + 13) + (42 * 38) - 9,"add 8 and 13, multiply 42 by 38, add the results, then subtract 9."
((8 + 13) + (42 * 38) - 9) + (28 + 14 + 24),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then add the sum of 28, 14, and 24."
((8 + 13) + (42 * 38) - 9) - (23 + 22 + 2),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then subtract the sum of 23, 22, and 2."
((8 + 13) + (42 * 38) - 9) + (33 - 23),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then add the difference of 33 and 23)."
((8 + 13) + (42 * 38) - 9) + (48 + 22),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then add the sum of 48 and 22."
((8 + 13) + (42 * 38) - 9) + (29 + 4 + 8),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then add the sum of 29, 4, and 8."
((8 + 13) + (42 * 38) - 9) + (16 - 17),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then add the difference of 16 and 17)."
((8 + 13) + (42 * 38) - 9) - (6 + 27 + 19),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then subtract the sum of 6, 27, and 19."
((8 + 13) + (42 * 38) - 9) * (4 + 4),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then multiply that by the sum of 4 and 4."
((8 + 13) + (42 * 38) - 9) + (10 * 9),"add 8 and 13, multiply 42 by 38, add the results, then subtract 9, then add the product of 10 and 9."
7 * (25 + 8 + 9) - 13,"add 25, 8, and 9, multiply that by 7, then subtract 13."
(7 * (25 + 8 + 9) - 13) - 21,"add 25, 8, and 9, multiply that by 7, then subtract 13, then subtract 21."
(7 * (25 + 8 + 9) - 13) * (6 * 3),"add 25, 8, and 9, multiply that by 7, then subtract 13, then multiply that by the product of 6 and 3."
(7 * (25 + 8 + 9) - 13) * (7 * 10),"add 25, 8, and 9, multiply that by 7, then subtract 13, then multiply that by the product of 7 and 10."
(7 * (25 + 8 + 9) - 13) + (40 + 37),"add 25, 8, and 9, multiply that by 7, then subtract 13, then add the sum of 40 and 37."
(7 * (25 + 8 + 9) - 13) + (20 - 30),"add 25, 8, and 9, multiply that by 7, then subtract 13, then add the difference of 20 and 30)."
(7 * (25 + 8 + 9) - 13) - 40,"add 25, 8, and 9, multiply that by 7, then subtract 13, then subtract 40."
(7 * (25 + 8 + 9) - 13) - (14 + 12 + 20),"add 25, 8, and 9, multiply that by 7, then subtract 13, then subtract the sum of 14, 12, and 20."
(7 * (25 + 8 + 9) - 13) + (20 + 13),"add 25, 8, and 9, multiply that by 7, then subtract 13, then add the sum of 20 and 13."
(7 * (25 + 8 + 9) - 13) + (13 + 4),"add 25, 8, and 9, multiply that by 7, then subtract 13, then add the sum of 13 and 4."
25 * 12 + 36 - 32,"multiply 25 by 12, then add 36, then subtract 32."
(25 * 12 + 36 - 32) + (44 - 18),"multiply 25 by 12, then add 36, then subtract 32, then add the difference of 44 and 18)."
(25 * 12 + 36 - 32) * (4 + 4),"multiply 25 by 12, then add 36, then subtract 32, then multiply that by the sum of 4 and 4."
(25 * 12 + 36 - 32) - (50 - 10),"multiply 25 by 12, then add 36, then subtract 32, then subtract the difference of 50 and 10."
