python_expression,natural_language,value
(21 * (4 + 1)) - 24,"add 4 and 1, multiply that by 21, then subtract 24.",81
8 * 8 + 5 - 24,"multiply 8 by 8, then add 5, then subtract 24.",45
(22 * (24 - 18)) + 3,"subtract 18 from 24, multiply that by 22, then add 3.",135
(14 + 2) * (1 - 3),"add 14 and 2, take 1 minus 3, then multiply the two results.",-32
(8 * 17 * 20) + 1,"multiply 8, 17, and 20 together, then add 1.",2721
(7 * 23 * 21) + 23,"multiply 7, 23, and 21 together, then add 23.",3404
(14 * (8 + 15)) - 19,"add 8 and 15, multiply that by 14, then subtract 19.",303
((1 + 25) * (6 + 23)),"add 1 and 25, add 6 and 23, then multiply the two results.",754
(11 + 9) * (5 + 7) - 11,"add 11 and 9, add 5 and 7, multiply the sums, then subtract 11.",229
11 * 4 + 3 - 13,"multiply 11 by 4, then add 3, then subtract 13.",34
((12 + 12 + 20) * 9) - 12,"add 12, 12, and 20, multiply by 9, then subtract 12.",384
2 * 24 + 15 - 18,"multiply 2 by 24, then add 15, then subtract 18.",45
(13 * 3) + (18 + 10),"multiply 13 by 3, then add 18 and 10.",67
(21 + 20) * (12 - 19),"add 21 and 20, take 12 minus 19, then multiply the two results.",-287
(23 + 3 + 2 + 22),"add 23, 3, 2, and 22.",50
(25 + 10) + (3 - 8),"add 25 and 10, subtract 8 from 3, then add the two results.",30
((4 + 13) - 9) * 15,"add 4 and 13, subtract 9, then multiply by 15.",120
(12 + 6) * (12 - 12),"add 12 and 6, take 12 minus 12, then multiply the two results.",0
((22 + 9) - 23) * 22,"add 22 and 9, subtract 23, then multiply by 22.",176
(3 * 20 * 21) + 6,"multiply 3, 20, and 21 together, then add 6.",1266
(24 - (8 * 6)) + 15,"multiply 8 by 6, subtract that from 24, then add 15.",-9
(9 + 21 + 23 + 18),"add 9, 21, 23, and 18.",71
(22 - 11) * 25 + 25,"subtract 11 from 22, multiply the result by 25, then add 25.",300
(8 * (2 + 11)) - 13,"add 2 and 11, multiply that by 8, then subtract 13.",91
(3 + (7 * 19)) - 23,"multiply 7 by 19, add 3 to that, then subtract 23.",113
(7 * (21 + 16)) + 13,"add 21 and 16, multiply by 7, then add 13.",272
(21 + 15 + 5) - 9,"add 21, 15, and 5, then subtract 9.",32
(8 * (24 + 18)) - 18,"add 24 and 18, multiply that by 8, then subtract 18.",318
(24 - (19 * 14)) + 19,"multiply 19 by 14, subtract that from 24, then add 19.",-223
(12 + 8) - (5 + 17),"add 12 and 8, add 5 and 17, then subtract the second sum from the first.",-2
(3 + 25 + 2) - 4,"add 3, 25, and 2, then subtract 4.",26
(21 + (6 - 22)) * 14,"subtract 22 from 6, add 21 to that, then multiply by 14.",70
(3 * 13) - 13 - 20,"multiply 3 by 13, then subtract 13, then subtract 20.",6
(17 + 9) * 18 + 1,"add 17 and 9, multiply by 18, then add 1.",469
(24 + 4) * (22 + 18) - 24,"add 24 and 4, add 22 and 18, multiply the sums, then subtract 24.",1096
9 * 25 + 21 - 11,"multiply 9 by 25, then add 21, then subtract 11.",235
(10 + 14) * 6 - 15,"add 10 and 14, then multiply that by 6, then subtract 15 from that.",129
(24 + 24) * (9 + 17) - 24,"add 24 and 24, add 9 and 17, multiply the sums, then subtract 24.",1224
((6 + 17) * 4) + 21,"add 6 and 17, multiply by 4, then add 21.",113
(21 + 17 + 20) - 7,"add 21, 17, and 20, then subtract 7.",51
(12 + 25) * (6 + 18) - 12,"add 12 and 25, add 6 and 18, multiply the sums, then subtract 12.",876
(17 + 1) - (20 + 11),"add 17 and 1, add 20 and 11, then subtract the second sum from the first.",-13
(1 + 4 + 12 + 10),"add 1, 4, 12, and 10.",27
(2 + 8) + (19 * 3),"add 2 and 8, then add the product of 19 and 3.",67
(24 * 16 * 3) + 25,"multiply 24, 16, and 3 together, then add 25.",1177
(25 + 5) - (5 + 22),"add 25 and 5, add 5 and 22, then subtract the second sum from the first.",3
(18 + 6) + (9 - 17),"add 18 and 6, subtract 17 from 9, then add the two results.",16
(20 + 14) * (7 + 18) - 20,"add 20 and 14, add 7 and 18, multiply the sums, then subtract 20.",830
((24 + 23) * 7) + 23,"add 24 and 23, multiply by 7, then add 23.",352
(13 * 22) - 21 - 12,"multiply 13 by 22, then subtract 21, then subtract 12.",253
(17 + 15 + 4 + 8),"add 17, 15, 4, and 8.",44
(3 * 11 * 1) + 19,"multiply 3, 11, and 1 together, then add 19.",52
(8 + 19) + (8 * 1),"add 8 and 19, then add the product of 8 and 1.",35
(23 + 21) + (2 * 8),"add 23 and 21, then add the product of 2 and 8.",60
